OrderID,Customer,Product,Category,Price,City
1001,Liam,Mouse,Electronics,700,Chennai
1002,Charlie,Shoes,Fashion,2500,Delhi
1003,Jack,Backpack,Fashion,2200,Jaipur
1004,Bob,Laptop,Electronics,55000,Pune
1005,Jack,Shoes,Fashion,2500,Kolkata
1006,Liam,Backpack,Fashion,2200,Bengaluru
1007,Henry,Headphones,Electronics,1800,Chennai
1008,Liam,Laptop,Electronics,55000,Jaipur
1009,Charlie,Book,Books,450,Pune
1010,Bob,Book,Books,450,Jaipur
1011,Noah,Mouse,Electronics,700,Hyderabad
1012,Mia,Water Bottle,Home,300,Kolkata
1013,Bob,Coffee Mug,Home,350,Jaipur
1014,Eva,Mouse,Electronics,700,Hyderabad
1015,Liam,Water Bottle,Home,300,Delhi
1016,Mia,Laptop,Electronics,55000,Chennai
1017,Noah,Mouse,Electronics,700,Delhi
1018,Henry,Headphones,Electronics,1800,Hyderabad
1019,Frank,Keyboard,Electronics,1500,Pune
1020,Jack,T-Shirt,Fashion,800,Mumbai
1021,Charlie,Backpack,Fashion,2200,Lucknow
1022,Olivia,Headphones,Electronics,1800,Bengaluru
1023,Noah,Shoes,Fashion,2500,Kolkata
1024,Mia,Shoes,Fashion,2500,Hyderabad
1025,Bob,Headphones,Electronics,1800,Pune
1026,David,Water Bottle,Home,300,Lucknow
1027,Charlie,Headphones,Electronics,1800,Chennai
1028,Liam,Keyboard,Electronics,1500,Bengaluru
1029,Liam,Backpack,Fashion,2200,Jaipur
1030,Frank,Water Bottle,Home,300,Pune
1031,Henry,Keyboard,Electronics,1500,Delhi
1032,Charlie,Laptop,Electronics,55000,Mumbai
1033,Bob,Headphones,Electronics,1800,Jaipur
1034,Henry,Headphones,Electronics,1800,Bengaluru
1035,Noah,T-Shirt,Fashion,800,Kolkata
1036,Mia,Mouse,Electronics,700,Chennai
1037,Eva,Book,Books,450,Jaipur
1038,Alice,Keyboard,Electronics,1500,Chennai
1039,Ivy,Backpack,Fashion,2200,Delhi
1040,Jack,T-Shirt,Fashion,800,Pune
1041,Mia,Keyboard,Electronics,1500,Mumbai
1042,Olivia,Backpack,Fashion,2200,Kolkata
1043,Henry,Water Bottle,Home,300,Kolkata
1044,Olivia,Mouse,Electronics,700,Chennai
1045,David,Shoes,Fashion,2500,Delhi
1046,Noah,Mouse,Electronics,700,Delhi
1047,Charlie,Backpack,Fashion,2200,Lucknow
1048,Eva,Backpack,Fashion,2200,Bengaluru
1049,David,Water Bottle,Home,300,Bengaluru
1050,Grace,Shoes,Fashion,2500,Hyderabad
1051,Henry,Coffee Mug,Home,350,Delhi
1052,Bob,Shoes,Fashion,2500,Hyderabad
1053,Ivy,Laptop,Electronics,55000,Pune
1054,Alice,Water Bottle,Home,300,Delhi
1055,Bob,Laptop,Electronics,55000,Kolkata
1056,Ivy,Book,Books,450,Pune
1057,David,T-Shirt,Fashion,800,Bengaluru
1058,Jack,Keyboard,Electronics,1500,Lucknow
1059,Mia,Shoes,Fashion,2500,Jaipur
1060,Bob,Shoes,Fashion,2500,Jaipur
1061,Grace,Book,Books,450,Lucknow
1062,Alice,Laptop,Electronics,55000,Jaipur
1063,David,Book,Books,450,Pune
1064,Henry,Shoes,Fashion,2500,Mumbai
1065,Eva,Headphones,Electronics,1800,Lucknow
1066,Henry,Shoes,Fashion,2500,Bengaluru
1067,Kiran,Mouse,Electronics,700,Bengaluru
1068,Olivia,Laptop,Electronics,55000,Pune
1069,Henry,Keyboard,Electronics,1500,Lucknow
1070,Olivia,Shoes,Fashion,2500,Kolkata
1071,Alice,Keyboard,Electronics,1500,Jaipur
1072,Eva,T-Shirt,Fashion,800,Jaipur
1073,Charlie,Backpack,Fashion,2200,Pune
1074,Alice,T-Shirt,Fashion,800,Bengaluru
1075,Alice,Laptop,Electronics,55000,Kolkata
1076,Ivy,Water Bottle,Home,300,Bengaluru
1077,Ivy,Keyboard,Electronics,1500,Delhi
1078,Jack,Keyboard,Electronics,1500,Delhi
1079,Bob,Shoes,Fashion,2500,Pune
1080,Alice,Water Bottle,Home,300,Delhi
1081,Jack,Headphones,Electronics,1800,Bengaluru
1082,David,Book,Books,450,Hyderabad
1083,Grace,Shoes,Fashion,2500,Mumbai
1084,Frank,T-Shirt,Fashion,800,Delhi
1085,Jack,Laptop,Electronics,55000,Delhi
1086,David,Mouse,Electronics,700,Bengaluru
1087,Olivia,T-Shirt,Fashion,800,Hyderabad
1088,Frank,Mouse,Electronics,700,Chennai
1089,Noah,Keyboard,Electronics,1500,Bengaluru
1090,Mia,T-Shirt,Fashion,800,Bengaluru
1091,Eva,Laptop,Electronics,55000,Delhi
1092,Bob,Keyboard,Electronics,1500,Delhi
1093,Eva,Backpack,Fashion,2200,Chennai
1094,Liam,Water Bottle,Home,300,Hyderabad
1095,Ivy,Shoes,Fashion,2500,Lucknow
1096,Bob,T-Shirt,Fashion,800,Jaipur
1097,Alice,T-Shirt,Fashion,800,Hyderabad
1098,Charlie,Keyboard,Electronics,1500,Lucknow
1099,Ivy,Backpack,Fashion,2200,Kolkata
1100,Olivia,Mouse,Electronics,700,Mumbai
1101,Noah,Backpack,Fashion,2200,Hyderabad
1102,Charlie,Water Bottle,Home,300,Jaipur
1103,Eva,Keyboard,Electronics,1500,Hyderabad
1104,David,Laptop,Electronics,55000,Pune
1105,Mia,Mouse,Electronics,700,Bengaluru
1106,Liam,Headphones,Electronics,1800,Mumbai
1107,Mia,Shoes,Fashion,2500,Mumbai
1108,Charlie,Headphones,Electronics,1800,Hyderabad
1109,Eva,Headphones,Electronics,1800,Mumbai
1110,Noah,Mouse,Electronics,700,Kolkata
